Frequency_MHz,Power_dBm
50.000,-87.394
50.108,-88.253
50.217,-88.076
50.325,-86.186
50.434,-88.472
50.542,-87.656
50.651,-84.828
50.759,-87.654
50.868,-86.308
50.976,-87.782
51.085,-88.161
51.193,-86.676
51.302,-85.359
51.410,-88.362
51.519,-87.700
51.627,-87.590
51.736,-87.781
51.844,-87.443
51.953,-87.709
52.061,-88.045
52.170,-84.222
52.278,-84.353
52.387,-90.508
52.495,-89.118
52.603,-87.534
52.712,-84.651
52.820,-83.342
52.929,-87.443
53.037,-87.805
53.146,-88.153
53.254,-88.201
53.363,-87.556
53.471,-89.132
53.580,-88.398
53.688,-87.195
53.797,-76.760
53.905,-88.070
54.014,-88.999
54.122,-88.260
54.231,-90.099
54.339,-90.228
54.448,-91.656
54.556,-89.818
54.665,-93.174
54.773,-91.076
54.882,-92.302
54.990,-90.584
55.098,-92.440
55.207,-92.810
55.315,-80.544
55.424,-89.625
55.532,-88.614
55.641,-91.372
55.749,-93.264
55.858,-92.499
55.966,-90.848
56.075,-92.293
56.183,-92.902
56.292,-93.253
56.400,-91.824
56.509,-91.032
56.617,-92.312
56.726,-89.904
56.834,-74.099
56.943,-85.423
57.051,-89.156
57.160,-91.788
57.268,-91.394
57.377,-92.301
57.485,-94.622
57.593,-93.396
57.702,-93.375
57.810,-90.897
57.919,-93.058
58.027,-94.044
58.136,-93.589
58.244,-93.596
58.353,-82.702
58.461,-93.030
58.570,-91.329
58.678,-93.906
58.787,-91.666
58.895,-93.945
59.004,-94.389
59.112,-92.976
59.221,-93.348
59.329,-92.227
59.438,-92.797
59.546,-92.083
59.655,-93.488
59.763,-92.198
59.872,-80.810
59.980,-87.592
60.088,-90.109
60.197,-90.482
60.305,-91.077
60.414,-90.532
60.522,-89.520
60.631,-88.044
60.739,-89.386
60.848,-87.137
60.956,-87.400
61.065,-87.448
61.173,-87.412
61.282,-87.169
61.390,-82.866
61.499,-86.116
61.607,-86.423
61.716,-86.578
61.824,-86.457
61.933,-87.556
62.041,-87.144
62.150,-86.717
62.258,-87.217
62.367,-85.219
62.475,-86.038
62.583,-86.659
62.692,-87.405
62.800,-88.350
62.909,-88.565
63.017,-79.341
63.126,-88.855
63.234,-90.472
63.343,-89.750
63.451,-90.730
63.560,-92.150
63.668,-93.961
63.777,-92.553
63.885,-95.756
63.994,-96.595
64.102,-94.639
64.211,-95.838
64.319,-96.635
64.428,-95.389
64.536,-85.907
64.645,-95.049
64.753,-93.837
64.862,-91.458
64.970,-92.831
65.078,-91.654
65.187,-91.409
65.295,-90.955
65.404,-90.540
65.512,-90.561
65.621,-89.720
65.729,-89.446
65.838,-89.401
65.946,-89.489
66.055,-79.620
66.163,-89.168
66.272,-89.245
66.380,-89.365
66.489,-88.851
66.597,-88.971
66.706,-88.560
66.814,-89.354
66.923,-89.820
67.031,-90.409
67.140,-89.985
67.248,-89.695
67.357,-90.250
67.465,-90.901
67.573,-91.068
67.682,-89.691
67.790,-89.844
67.899,-91.263
68.007,-90.147
68.116,-89.660
68.224,-89.258
68.333,-89.916
68.441,-88.493
68.550,-88.714
68.658,-89.851
68.767,-88.746
68.875,-87.125
68.984,-88.096
69.092,-87.643
69.201,-87.796
69.309,-88.089
69.418,-88.458
69.526,-88.665
69.635,-87.033
69.743,-87.168
69.852,-88.693
69.960,-87.732
70.068,-88.657
70.177,-90.060
70.285,-89.132
70.394,-89.690
70.502,-89.934
70.611,-87.525
70.719,-89.293
70.828,-90.759
70.936,-89.541
71.045,-90.315
71.153,-88.825
71.262,-88.706
71.370,-90.933
71.479,-87.687
71.587,-90.048
71.696,-88.773
71.804,-88.617
71.913,-88.548
72.021,-83.239
72.130,-84.749
72.238,-79.293
72.347,-87.467
72.455,-87.574
72.563,-88.621
72.672,-89.129
72.780,-88.286
72.889,-82.947
72.997,-84.336
73.106,-88.411
73.214,-87.275
73.323,-88.381
73.431,-87.170
73.540,-89.730
73.648,-90.492
73.757,-84.685
73.865,-91.334
73.974,-90.293
74.082,-89.232
74.191,-60.694
74.299,-60.767
74.408,-82.786
74.516,-88.822
74.625,-89.521
74.733,-89.914
74.842,-87.880
74.950,-89.168
75.058,-89.567
75.167,-86.460
75.275,-75.592
75.384,-88.077
75.492,-86.046
75.601,-85.966
75.709,-80.893
75.818,-77.797
75.926,-81.356
76.035,-80.803
76.143,-83.612
76.252,-82.091
76.360,-85.252
76.469,-84.384
76.577,-86.941
76.686,-83.569
76.794,-79.415
76.903,-83.977
77.011,-84.735
77.120,-84.505
77.228,-83.900
77.337,-84.754
77.445,-84.349
77.553,-85.542
77.662,-84.375
77.770,-86.848
77.879,-86.527
77.987,-84.918
78.096,-85.997
78.204,-88.780
78.313,-77.723
78.421,-84.484
78.530,-81.995
78.638,-80.672
78.747,-87.824
78.855,-88.590
78.964,-88.461
